onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.209	1625.4199999999998	BlockDesign														1.0	1.0	141.0	90.0	50.0
3.209	5.880000000000001	trials	1.0	5.487570000000001	6.849426			4.5855060000000005	6.844216			2.0		0.0	2.0					
10.918	11.071000000000002	trials	1.0	14.852754000000001	15.868777999999999			13.87494	17.712668			2.0		1.0	1.0					
22.419	8.974999999999998	trials	1.0	24.302888	25.859132			22.745266	26.160228			2.0		1.0	1.0					
32.169	9.010000000000005	trials	1.0	34.147608	35.873774			31.393468	36.148304			2.0		1.0	1.0					
41.978	9.765999999999998	trials	1.0	43.912386	45.77558			41.181066	46.376478	48.244	49.099	2.0		1.0	1.0					
52.169	6.831000000000003	trials	1.0	54.074	55.405808	57.050658	57.694208	51.74458	56.514562	57.814	59.0	1.0	1.0	1.0	1.0					
61.019	7.375000000000007	trials	1.0	63.00808	64.11416600000001			61.431682	65.901128	67.824	68.394	2.0		1.0	1.0					
71.419	10.959000000000003	trials	1.0	73.43363400000001	75.439648			71.59527399999999	76.13677000000001			2.0		1.0	1.0					
82.785	9.5	trials	1.0	84.648012	86.31948			82.37805800000001	87.01467199999999	88.779	88.964	2.0		1.0	1.0					
93.619	9.239999999999995	trials	1.0	95.644364	97.172686			92.282512	97.47435999999999			2.0		1.0	1.0					
103.449	6.25	trials	1.0	105.113	106.929374	107.86863	108.21695199999999	102.86094800000001	106.91901000000001			1.0		0.0	2.0					
112.962	6.066999999999993	trials	1.0	114.519	116.37419	118.53095400000001	119.029992	113.127174	117.939956			1.0	2.0	0.0	3.0					
122.911	7.128999999999991	trials	1.0	124.607932	126.19436999999999	128.24733999999998	128.82641999999998	122.9487	127.37172999999999	129.029	130.04	1.0	1.0	1.0	1.0					
132.059	13.324999999999989	trials	1.0	135.06010799999999	136.595044	140.078832	140.662014	134.43937599999998	139.608372	140.714	141.759	1.0	1.0	1.0	1.0					
145.775	6.593999999999994	trials	1.0	147.62285599999998	149.215196	150.44713	151.067728	145.386936	149.82601	151.259	152.369	1.0	1.0	1.0	1.0					
155.389	7.8160000000000025	trials	1.0	157.278054	158.63349399999998	161.19244	161.648216	155.918914	160.129542			1.0		0.0	5.0					
167.214	8.444999999999993	trials	1.0	168.797844	169.885266	174.730872	174.922178	167.41473	172.547578			1.0		0.0	5.0					
177.709	18.185000000000002	trials	1.0	189.338032	190.885294			188.556714	191.39711599999998			2.0		1.0	1.0					
196.165	9.062000000000012	trials	1.0	197.959756	199.561612			195.893944	200.938044			1.0		0.0	5.0					
207.129	5.951000000000022	trials	1.0	209.143556	210.459732			205.230558	210.776802			2.0		1.0	1.0					
215.577	9.802999999999997	trials	1.0	217.205874	218.414484	220.62747	221.216628	215.550188	220.087384	221.259	222.379	1.0	1.0	1.0	1.0					
225.415	6.9339999999999975	trials	1.0	227.419894	228.725142	230.58297	231.10326799999999	225.37957	229.49613	231.29	232.349	1.0	2.0	1.0	1.0					
234.364	11.699999999999989	trials	1.0	236.608432	237.98228799999998	241.09772999999998	241.838258	236.09603199999998	240.616178	241.739	243.229	1.0	1.0	1.0	1.0					
246.259	4.850000000000023	trials	1.0	248.563614	250.054196	250.57315	251.108146	246.06753	250.00172999999998			1.0	2.0	0.0	3.0					
253.909	13.595000000000027	trials	1.0	260.209936	261.539808			259.222848	262.84580600000004			2.0		1.0	1.0					
269.625	9.062000000000012	trials	1.0	271.57329200000004	272.765284			267.50770400000005	274.145286			2.0		1.0	1.0					
281.059	5.544999999999959	trials	1.0	283.148452	284.597488	285.16186000000005	285.349234	278.685358	284.58893600000005			1.0		0.0	2.0					
288.65	9.359000000000037	trials	1.0	292.228794	293.74491800000004	296.29958600000003	296.737484	291.36882	295.76997600000004	297.134	298.009	1.0	2.0	1.0	1.0					
300.056	7.824000000000012	trials	1.0	302.09486200000003	303.59170800000004	305.90945000000005	306.57321	301.00681000000003	305.3621			1.0	2.0	0.0	3.0					
308.324	11.961999999999989	trials	1.0	313.679364	315.722398	318.35938600000003	319.072532	312.924598	317.847642	319.179	320.286	1.0	2.0	1.0	1.0					
323.304	8.805000000000007	trials	1.0	325.10226	326.986238			323.55502800000005	327.523122			2.0		1.0	1.0					
334.322	9.817000000000007	trials	1.0	336.154888	338.168426			332.108632	338.69577200000003			2.0		1.0	1.0					
345.744	9.503999999999962	trials	1.0	347.62660600000004	349.28071	350.10857400000003	350.199322	344.139096	349.27148200000005			1.0		0.0	2.0					
355.402	11.569999999999993	trials	1.0	356.976824	358.05943			355.25203200000004	359.17167	361.58	364.345	2.0		1.0	1.0					
368.389	7.759999999999991	trials	1.0	370.265108	372.066748			366.975434	373.01486800000004	374.804	376.149	2.0		1.0	1.0					
378.169	8.215000000000032	trials	1.0	380.573594	382.010528			379.58891200000005	383.51563200000004			2.0		1.0	1.0					
388.855	7.954000000000008	trials	1.0	390.44223400000004	391.565492			389.540546	394.432232			2.0		1.0	1.0					
401.134	10.361999999999966	trials	1.0	403.43910200000005	405.20054200000004			402.44393	406.38770400000004	408.114	411.496	2.0		1.0	1.0					
413.544	8.770000000000039	trials	1.0	415.58551800000004	416.839824	421.765194	422.317584	414.853154	421.17818200000005			1.0	2.0	0.0	3.0					
425.109	7.8250000000000455	trials	1.0	426.85418400000003	428.16557400000005	432.250304	432.39428200000003	426.086672	429.78788000000003			1.0		0.0	5.0					
435.944	6.774999999999977	trials	1.0	439.085568	441.095748	442.33590000000004	442.70975400000003	438.23850400000003	441.819064			1.0	2.0	0.0	3.0					
444.67	10.995000000000005	trials	1.0	448.24017200000003	450.021132			447.69004	450.78324000000003			2.0		1.0	1.0					
458.104	10.400000000000034	trials	1.0	459.71082800000005	461.23088800000005			455.668748	461.76982000000004	463.859	464.544	2.0		1.0	1.0					
468.564	9.617999999999995	trials	1.0	470.198914	471.705686	477.535114	478.179776	468.508464	473.71558000000005			1.0		0.0	5.0					
480.779	7.971000000000004	trials	1.0	482.559614	484.37599400000005			481.92176600000005	485.238534	487.309	488.75	2.0		1.0	1.0					
490.806	10.853000000000009	trials	1.0	492.72947200000004	494.070038			492.15877	495.453686	497.909	497.969	2.0		1.0	1.0					
501.674	12.090000000000032	trials	1.0	503.66393000000005	504.80181600000003			501.662056	506.19941400000005	509.094	510.369	2.0		1.0	1.0					
514.394	6.508000000000038	trials	1.0	515.977034	517.514546			513.769118	518.407316	520.474	520.902	2.0		1.0	1.0					
524.964	10.910999999999945	trials	1.0	529.169996	530.789812			528.644462	532.781686			1.0		0.0	5.0					
537.923	16.595000000000027	trials	1.0	546.159862	547.7461420000001			545.4747540000001	549.161746	550.955	551.665	2.0		1.0	1.0					
555.681	9.642999999999915	trials	1.0	557.3823160000001	558.556556			554.520224	559.483876	561.229	562.384	2.0		1.0	1.0					
566.415	4.293000000000006	trials	1.0	568.053846	569.576376	570.267476	570.709244	565.325928	569.596414			1.0	2.0	0.0	3.0					
573.6	7.649999999999977	trials	1.0	575.589968	577.343652	579.18951	579.898934	574.6369940000001	578.594416	579.979	581.25	1.0	1.0	1.0	1.0					
583.314	12.650000000000091	trials	1.0	587.5295580000001	589.121024			586.994948	589.7917120000001	591.854	593.179	2.0		1.0	1.0					
597.212	4.413000000000011	trials	1.0	598.961298	599.561728	600.443766	600.5767900000001	595.966062	599.558848			1.0		0.0	2.0					
604.669	9.605000000000018	trials	1.0	610.1496000000001	611.82618	613.196634	613.859146	609.531318	612.588062			1.0	1.0	1.0	1.0					
617.79	11.119000000000028	trials	1.0	619.4143240000001	620.4718280000001	623.34366	623.882012	618.43996	622.823286	624.234	625.187	1.0	2.0	1.0	1.0					
629.219	6.634999999999991	trials	1.0	630.744846	632.661258	634.090396	634.659314	628.913896	633.4611560000001			1.0	2.0	0.0	3.0					
