participant_id	original_participant_id	species	sex	strain
sub-31	sub-31	Rattus norvegicus	M	Long-Evans
sub-32	sub-32	Rattus norvegicus	M	Long-Evans
sub-34	sub-34	Rattus norvegicus	M	Long-Evans
sub-35	sub-35	Rattus norvegicus	M	Long-Evans
sub-42	sub-42	Rattus norvegicus	M	Long-Evans
sub-44	sub-44	Rattus norvegicus	M	Long-Evans
