onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
2.293	2241.069	BlockDesign														1.0	1.0	143.0	90.0	50.0
2.293	16.09	trials	1.0	12.287078	13.975882	16.469341	16.719039000000002	11.593	14.829088999999998	17.258	18.383	1.0	2.0	1.0	1.0					
21.399	10.698	trials	1.0	25.803527000000003	26.913494	29.836385	30.213009999999997	25.214359	28.767257	30.617	32.097	1.0	2.0	1.0	1.0					
35.122	7.905000000000001	trials	1.0	39.076994	40.383295	42.492399999999996	43.031428999999996	38.436018	41.372423			1.0	2.0	0.0	3.0					
46.857	13.100000000000001	trials	1.0	50.182818	51.813539	57.022313	57.606421	49.416046	54.659828	57.777	59.957	1.0	1.0	1.0	1.0					
61.977	12.20000000000001	trials	1.0	68.086929	69.582319	71.228124	72.364803	67.16202799999999	69.924935	72.042	74.177	1.0	1.0	1.0	1.0					
77.242	7.989999999999995	trials	1.0	80.947699	82.163656			80.255681	83.137415	84.847	84.987	2.0		1.0	1.0					
87.807	15.724999999999994	trials	1.0	91.396574	92.62647199999999	102.302593	102.681511	90.72467	100.22756799999999			1.0	2.0	0.0	3.0					
105.637	5.944999999999993	trials	1.0	107.554136	108.684596	111.068263	111.583987	103.536422	110.003878			1.0	1.0	0.0	3.0					
113.448	19.34400000000001	trials	1.0	125.45297	127.360267	130.754891	131.256898	124.522928	129.514585	131.517	132.792	1.0	2.0	1.0	1.0					
135.812	11.019999999999982	trials	1.0	139.257511	141.315514	144.80174	145.229644	138.629756	143.703058	145.673	146.832	1.0	2.0	1.0	1.0					
150.852	9.335000000000008	trials	1.0	153.639251	154.920731	158.023885	158.541056	153.10008	156.98674	158.852	160.187	1.0	2.0	1.0	1.0					
163.252	7.539999999999992	trials	1.0	167.158163	168.789651			166.200371	168.779219			2.0		0.0	2.0					
173.802	16.12100000000001	trials	1.0	184.113883	186.099842	189.416847	189.926303	183.356174	186.585795			1.0	2.0	0.0	3.0					
193.814	16.147999999999996	trials	1.0	201.248259	202.469316	208.812437	209.39579799999998	200.617864	207.535784			1.0	2.0	0.0	3.0					
213.177	4.540999999999997	trials	1.0	214.70906	215.65025			209.965831	215.644262			2.0		0.0	2.0					
219.727	25.234999999999985	trials	1.0	235.93839499999999	237.367861	242.843908	243.380884	235.138184	241.676825	243.587	244.962	1.0	2.0	1.0	1.0					
248.037	8.674999999999983	trials	1.0	251.363951	252.780002	255.36431599999997	255.893417	250.554643	254.315921			1.0	2.0	0.0	3.0					
257.692	12.690999999999974	trials	1.0	259.599718	260.821872	267.811602	268.506578	256.713867	266.399356	268.432	270.383	1.0	1.0	1.0	1.0					
274.467	13.835000000000036	trials	1.0	280.87820899999997	282.655379	286.171595	286.616448	280.260286	284.04674	286.822	288.302	1.0	2.0	1.0	1.0					
290.322	8.552999999999997	trials	1.0	294.503335	296.109646			293.953684	296.67991	298.548	298.752	2.0		1.0	1.0					
303.423	10.13900000000001	trials	1.0	309.006658	310.235227			308.025875	311.452028	313.298	313.332	2.0		1.0	1.0					
318.027	9.389999999999986	trials	1.0	322.083383	323.744621			321.444016	324.157228	326.012	327.417	2.0		1.0	1.0					
331.482	10.194999999999993	trials	1.0	333.668786	335.343077	339.50260099999997	339.95608599999997	333.11489	337.970294	340.267	341.677	1.0	2.0	1.0	1.0					
344.707	11.125	trials	1.0	349.475188	351.420147	353.69891	354.19178	348.683582	352.642407	354.532	355.832	1.0	2.0	1.0	1.0					
357.852	9.335000000000036	trials	1.0	362.64401	363.865454	365.968069	366.502343	361.645547	364.812203			1.0	2.0	0.0	3.0					
368.327	11.985000000000014	trials	1.0	370.158803	372.140263	377.572547	378.011071	367.190396	376.110703	378.343	380.312	1.0	1.0	1.0	1.0					
382.342	12.480000000000018	trials	1.0	386.725559	388.115609	392.14739	392.733902	386.173768	390.904856	393.002	394.822	1.0	1.0	1.0	1.0					
398.937	10.125	trials	1.0	403.673411	405.566559			403.095673	405.544086	407.317	409.062	2.0		1.0	1.0					
412.088	9.58499999999998	trials	1.0	416.279246	417.595432			415.454957	419.60188	421.383	421.468	2.0		1.0	1.0					
