onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.386	330.741	BlockDesign														1.0	1.0	27.0	50.0	10.0
3.386	15.666	trials	1.0	10.333869	12.229688999999999	18.755150999999998	19.051516999999997	9.612	12.316835999999999			1.0	1.0	0.0	3.0					
21.087	15.680000000000003	trials	1.0	29.013759	31.004649999999998			28.292066	31.177141999999996	33.002	33.112	2.0		1.0	1.0					
36.872	8.57	trials	1.0	38.638743	40.174724999999995	41.592245999999996	42.552429	36.763811999999994	40.335575			1.0	1.0	0.0	3.0					
45.927	22.455000000000005	trials	1.0	59.363474	60.900182	62.333369999999995	62.954895	58.372124	61.336503	63.118	64.442	1.0	1.0	1.0	1.0					
68.465	6.061999999999998	trials	1.0	70.285488	71.32685400000001	72.945592	73.788908	68.379042	72.18203600000001			1.0	1.0	0.0	3.0					
76.292	4.689999999999998	trials	1.0	78.195248	78.971585	80.21257100000001	80.57232300000001	74.525485	78.96594800000001			1.0		0.0	2.0					
82.993	9.614000000000004	trials	1.0	85.903542	87.8614	90.566011	91.09302500000001	85.20565400000001	89.37892500000001	91.412	92.607	1.0	1.0	1.0	1.0					
94.627	6.977000000000004	trials	1.0	97.425078	98.829975			96.73720200000001	99.298523	101.287	101.357	2.0		1.0	1.0					
104.132	10.96499999999999	trials	1.0	107.468886	109.086555	110.83236500000001	111.472581	106.683414	109.98934200000001			1.0	1.0	0.0	3.0					
115.18	13.262	trials	1.0	121.184144	122.225837	125.41144200000001	126.02049000000001	120.608939	124.38638			1.0	1.0	0.0	3.0					
128.797	24.396000000000015	trials	1.0	148.745486	150.043938	151.191054	151.634127	147.877112	150.555172	152.012	153.193	1.0	1.0	1.0	1.0					
157.212	6.305000000000007	trials	1.0	158.874855	160.20471	161.346531	162.022232	157.282052	160.669321	162.118	163.517	1.0	1.0	1.0	1.0					
165.537	5.864999999999981	trials	1.0	167.98401	169.372918			167.430722	169.36428			2.0		0.0	2.0					
173.462	8.625	trials	1.0	175.120523	176.511288	179.730044	180.62628800000002	174.22956	178.866383	180.612	182.087	1.0	1.0	1.0	1.0					
186.158	7.484000000000009	trials	1.0	188.61410700000002	190.30991	191.467985	192.14793	188.030111	190.746432	192.217	193.642	1.0	1.0	1.0	1.0					
196.677	6.5400000000000205	trials	1.0	198.979139	200.413623	201.690191	202.421937	198.127095	200.989098			1.0	1.0	0.0	3.0					
204.037	5.349999999999994	trials	1.0	205.904088	207.37682900000001			203.21856	207.36510900000002			2.0		0.0	2.0					
211.444	8.688000000000017	trials	1.0	213.774018	215.321056	217.358261	218.400618	212.859461	216.540063	218.127	220.132	1.0	1.0	1.0	1.0					
223.158	7.125	trials	1.0	224.86441100000002	226.044213	228.68188700000002	229.440618	224.297478	228.087707			1.0	1.0	0.0	3.0					
231.063	15.744	trials	1.0	241.804364	243.476379	245.154525	245.57337900000002	240.84742400000002	244.331256	246.025	246.807	1.0	2.0	1.0	1.0					
249.872	9.286000000000001	trials	1.0	251.67503	253.008804	254.90567700000003	255.39050600000002	250.785086	254.087726			1.0	2.0	0.0	3.0					
259.287	11.980000000000018	trials	1.0	262.41996	264.226251			261.848505	264.668945	266.427	267.417	2.0		1.0	1.0					
271.482	5.715999999999951	trials	1.0	273.274271	274.513607	276.006773	276.582853	271.268691	275.137182			1.0	2.0	0.0	3.0					
279.406	18.601	trials	1.0	291.911579	293.689314	295.594979	296.626704	290.987035	294.638657	296.227	298.007	1.0	1.0	1.0	1.0					
302.071	6.155999999999949	trials	1.0	303.790163	305.154474			303.172229	305.744121	307.862	307.927	2.0		1.0	1.0					
311.737	8.875	trials	1.0	313.300815	314.806496	316.65927800000003	317.437726	312.294689	315.849725			1.0	1.0	0.0	3.0					
320.997	13.129999999999995	trials	1.0	328.654592	330.082249	334.031368	334.573148	328.132044	333.205017			1.0	2.0	0.0	3.0					
336.427	411.885	BlockDesign														1.0	28.0	64.0	50.0	90.0
336.427	5.089999999999975	trials	2.0	337.9653	339.631957	340.865784	341.518656	335.102256	340.160485			1.0	1.0	0.0	3.0					
344.212	10.160000000000025	trials	2.0	349.859924	351.453387	352.848228	353.458512	349.12568600000003	351.920856			1.0	2.0	0.0	3.0					
355.233	6.759999999999991	trials	2.0	357.175446	357.526977	358.786296	358.822125	354.372753	357.519477			1.0		0.0	2.0					
362.602	17.383000000000038	trials	2.0	375.82662	377.722698			374.829378	377.941539	379.727	379.783	2.0		1.0	1.0					
384.504	7.662999999999954	trials	2.0	386.136273	387.285927	390.35565	390.80681	385.324374	389.091578	391.118	392.167	1.0	2.0	1.0	1.0					
394.283	8.954000000000008	trials	2.0	397.739934	399.192129	401.363223	401.834354	397.206765	400.670291	402.017	403.237	1.0	2.0	1.0	1.0					
406.258	8.706000000000017	trials	2.0	409.485177	410.774203	413.137463	413.591664	408.846324	412.41832800000003	413.768	414.964	1.0	2.0	1.0	1.0					
416.982	8.654999999999973	trials	2.0	420.180923	422.18648	423.802616	424.141443	419.605707	423.022384	424.637	425.637	1.0	2.0	1.0	1.0					
428.658	10.188999999999965	trials	2.0	430.95168	432.623425			430.116053	432.752891	434.512	434.698	2.0		1.0	1.0					
