onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.205	1084.092	BlockDesign														1.0	1.0	66.0	50.0	90.0
3.205	34.686	trials	1.0	33.013366999999995	34.325126999999995	36.342032999999994	36.560697	32.361	35.749984	37.071	37.891	1.0	2.0	1.0	1.0					
41.923	8.772999999999996	trials	1.0	45.973558	47.440211999999995	48.887699999999995	49.17471999999999	45.06546399999999	48.035917999999995	49.601	50.696	1.0	2.0	1.0	1.0					
52.541	14.52000000000001	trials	1.0	62.65827	64.16037	65.248983	65.590543	61.856994	64.788105	65.931	67.061	1.0	1.0	1.0	1.0					
71.091	5.715000000000003	trials	1.0	73.613244	75.039555	76.466946	76.729287	72.910917	75.996708			1.0	1.0	0.0	3.0					
80.816	16.569999999999993	trials	1.0	93.425163	94.863771			92.56781799999999	95.21718			2.0		1.0	1.0					
99.906	6.864999999999995	trials	1.0	102.033361	103.660023	105.243624	105.558717	101.3694	104.550366	105.911	106.771	1.0	2.0	1.0	1.0					
109.837	6.853999999999999	trials	1.0	111.943653	113.093245	114.93292299999999	115.16922699999999	111.20684399999999	114.37475099999999	115.596	116.691	1.0	2.0	1.0	1.0					
118.526	9.649999999999991	trials	1.0	122.82852299999999	124.640923	125.69152199999999	126.24574899999999	122.106607	125.214552			1.0	1.0	0.0	3.0					
129.083	11.703000000000003	trials	1.0	137.644137	139.580209	140.463829	140.712814	137.026593	139.98972			1.0	1.0	0.0	3.0					
144.797	26.23400000000001	trials	1.0	166.074312	167.365327	169.548552	169.753729	165.564898	169.06069499999998	170.291	171.031	1.0	2.0	1.0	1.0					
173.051	7.969999999999999	trials	1.0	176.583585	178.110615	179.373582	179.657556	175.744936	178.906907	180.056	181.021	1.0	1.0	1.0	1.0					
184.091	9.419999999999987	trials	1.0	188.704107	190.64810699999998	191.909824	192.15828	187.930036	191.240149	192.726	193.511	1.0	2.0	1.0	1.0					
196.541	13.455000000000013	trials	1.0	206.380689	207.93139			205.507772	207.927523			2.0		0.0	2.0					
212.006	4.8300000000000125	trials	1.0	213.594682	215.502965	216.455604	216.709798	212.222815	215.980179			1.0	1.0	0.0	3.0					
219.892	37.95400000000001	trials	1.0	253.819513	254.97956100000002	256.120279	256.47526500000004	253.000203	255.539323	256.871	257.846	1.0	2.0	1.0	1.0					
259.896	6.680000000000007	trials	1.0	262.559702	264.45174699999995	264.992248	265.269853	261.77532199999996	264.432462	265.631	266.576	1.0	2.0	1.0	1.0					
268.592	7.2450000000000045	trials	1.0	271.328944	272.540787	274.363165	274.547875	270.68659	273.869139	274.981	275.837	1.0	2.0	1.0	1.0					
278.866	9.444999999999993	trials	1.0	283.41946799999994	284.623911	286.292289	286.900706	282.810787	285.75209700000005			2.0		0.0	4.0					
290.321	13.759999999999991	trials	1.0	299.45410200000003	300.542511	302.519986	302.736349	298.86522	302.03482599999995	303.276	304.081	1.0	2.0	1.0	1.0					
308.123	7.418000000000006	trials	1.0	310.59817999999996	312.31140400000004	313.472536	313.82949499999995	309.648638	312.92856299999994	314.087	315.541	1.0	1.0	1.0	1.0					
319.597	7.1340000000000146	trials	1.0	322.47003700000005	324.15270399999997			321.47682399999997	324.55899999999997			2.0		1.0	1.0					
329.226	7.0	trials	1.0	331.840966	333.44644800000003	334.530262	334.866127	330.93748500000004	333.96624299999996	335.212	336.226	1.0	1.0	1.0	1.0					
339.243	7.523000000000025	trials	1.0	342.41949999999997	343.490809	344.957635	345.18914700000005	341.432902	344.43358	345.701	346.766	1.0	1.0	1.0	1.0					
350.791	8.475000000000023	trials	1.0	353.885441	355.14768100000003			353.29158599999994	355.132666			2.0		0.0	2.0					
361.158	25.88299999999998	trials	1.0	383.484961	384.94877299999996	386.76505199999997	387.028906	382.660393	386.15772400000003			1.0	2.0	0.0	3.0					
390.096	46.01999999999998	trials	1.0	430.835095	432.340097	434.035306	434.29787999999996	430.01682300000004	433.486362			2.0		0.0	4.0					
438.131	10.880000000000052	trials	1.0	445.16478099999995	446.98543900000004	448.66209000000003	449.012743	444.301332	448.25595999999996			1.0	1.0	0.0	3.0					
450.991	24.245000000000005	trials	1.0	470.59587	472.23872099999994	474.143875	474.50551799999994	469.85376899999994	473.64115300000003			1.0	1.0	0.0	3.0					
476.471	25.670999999999992	trials	1.0	497.37052500000004	498.45103299999994	501.80599499999994	502.09977000000003	496.654982	501.404305			1.0	1.0	0.0	3.0					
506.152	17.878999999999962	trials	1.0	518.136127	519.892696	522.481966	522.8778140000001	517.360236	521.94185	523.271	524.031	1.0	2.0	1.0	1.0					
527.051	5.737999999999943	trials	1.0	529.190587	531.187986	532.420849	532.7053940000001	528.303952	531.893901			1.0	1.0	0.0	3.0					
534.846	25.537000000000035	trials	1.0	551.9272930000001	553.74742			550.99699	554.167636			2.0		1.0	1.0					
560.832	5.619000000000028	trials	1.0	562.596768	563.875795			560.383264	564.311821			2.0		1.0	1.0					
569.901	10.215000000000032	trials	1.0	574.7504680000001	576.4648510000001	578.207384	578.482711	574.164301	577.6750900000001	578.941	580.116	1.0	1.0	1.0	1.0					
582.146	20.18500000000006	trials	1.0	596.250936	597.377656	600.316693	600.577006	595.400023	599.5837300000001			2.0		0.0	4.0					
605.341	20.269999999999982	trials	1.0	619.786018	621.572674	623.904397	624.340816	619.006492	623.4507580000001	624.591	625.611	1.0	1.0	1.0	1.0					
629.721	7.956999999999994	trials	1.0	633.496338	635.11369			632.6038540000001	635.559596			2.0		1.0	1.0					
641.186	5.940999999999917	trials	1.0	643.026154	644.4382350000001	645.304961	645.582268	641.855145	644.837383	646.161	647.127	1.0	1.0	1.0	1.0					
651.151	7.134999999999991	trials	1.0	652.901835	654.853432	656.220765	656.629267	651.608347	655.70473			2.0		0.0	4.0					
662.297	9.733999999999924	trials	1.0	665.718025	667.318561	669.951901	670.251511	665.105281	669.448392	670.736	672.031	1.0	2.0	1.0	1.0					
675.911	6.480000000000018	trials	1.0	677.420839	679.157838	680.8653820000001	681.077812	676.6972450000001	680.431599	681.666	682.391	1.0	1.0	1.0	1.0					
685.491	9.274999999999977	trials	1.0	691.656548	693.524479	694.445865	694.683684	690.905658	693.9829090000001			1.0	1.0	0.0	3.0					
697.777	46.63900000000001	trials	1.0	738.972292	740.0745440000001	742.945156	743.271792	738.0114060000001	742.474473	743.596	744.416	1.0	2.0	1.0	1.0					
748.441	6.375	trials	1.0	750.473104	751.559334	753.27913	753.600265	749.8153570000001	752.731363	754.047	754.816	1.0	2.0	1.0	1.0					
756.838	9.249000000000024	trials	1.0	760.821672	762.623794	764.072657	764.423548	760.198207	763.4186470000001			2.0		0.0	4.0					
769.096	17.914999999999964	trials	1.0	781.541768	782.693648	785.4248210000001	785.859679	780.568545	784.88599	786.051	787.011	1.0	2.0	1.0	1.0					
791.031	8.06000000000006	trials	1.0	793.876831	795.303889	797.3741180000001	797.692258	793.035686	796.880521	798.212	799.091	1.0	1.0	1.0	1.0					
801.106	9.200000000000045	trials	1.0	805.937494	807.694468	808.8653800000001	809.089395	805.019595	808.323634	809.601	810.306	1.0	2.0	1.0	1.0					
812.326	8.480000000000018	trials	1.0	816.352666	818.15875	819.290844	819.54345	815.648965	818.763655	819.967	820.806	1.0	2.0	1.0	1.0					
822.826	11.034999999999968	trials	1.0	830.252202	831.463429	832.4308960000001	832.60392	829.271389	831.960421	833.191	833.861	1.0	2.0	1.0	1.0					
836.931	6.288999999999987	trials	1.0	840.336752	841.199749			839.480539	841.189104			1.0		0.0	2.0					
846.231	19.66999999999996	trials	1.0	860.777368	862.66402	864.275523	864.50032	859.917673	863.814331	865.036	865.901	1.0	1.0	1.0	1.0					
869.011	13.580000000000041	trials	1.0	874.943724	876.161428	877.731126	878.099076	874.307238	877.269285			2.0		0.0	4.0					
883.862	18.139999999999986	trials	1.0	896.547765	898.311283	900.387913	900.64984	896.001109	899.793751	901.051	902.002	1.0	2.0	1.0	1.0					
903.846	26.039999999999964	trials	1.0	926.2230420000001	927.4748900000001	929.490479	929.888002	925.651074	929.0146990000001			1.0	1.0	0.0	3.0					
932.813	33.49300000000005	trials	1.0	961.082481	962.295733	964.799082	965.065657	960.1650450000001	964.2855890000001	965.526	966.306	1.0	2.0	1.0	1.0					
968.366	8.544999999999959	trials	1.0	972.4340950000001	974.36971			971.557938	974.76841			2.0		1.0	1.0					
979.457	11.188999999999965	trials	1.0	986.980129	988.150164	989.141467	989.386282	986.08513	988.624194	989.816	990.646	1.0	2.0	1.0	1.0					
992.761	10.725000000000023	trials	1.0	999.594708	1000.890199	1001.992066	1002.173088	998.990683	1001.488698	1002.681	1003.486	1.0	2.0	1.0	1.0					
1005.546	8.959999999999923	trials	1.0	1010.323044	1011.941692	1012.8624130000001	1013.194125	1009.663999	1012.379005	1013.651	1014.506	1.0	2.0	1.0	1.0					
1017.531	8.336000000000013	trials	1.0	1022.1037150000001	1023.755452	1025.483763	1025.873484	1021.2784210000001	1024.589247			1.0	1.0	0.0	3.0					
1028.857	8.683999999999969	trials	1.0	1033.2337029999999	1034.464912	1035.923806	1036.140529	1032.4897859999999	1035.425902	1036.636	1037.541	1.0	2.0	1.0	1.0					
1039.589	9.427000000000135	trials	1.0	1044.224287	1046.140917	1047.2924249999999	1047.528118	1043.453163	1046.797564	1048.116	1049.016	1.0	2.0	1.0	1.0					
1053.036	8.774999999999864	trials	1.0	1057.5483629999999	1059.056611	1059.9321009999999	1060.268271	1056.8614799999998	1059.454086	1060.661	1061.811	1.0	2.0	1.0	1.0					
1065.666	7.154999999999973	trials	1.0	1069.1133909999999	1070.319341	1072.5016979999998	1072.6030349999999	1068.247866	1071.9624549999999			1.0	2.0	0.0	3.0					
1075.877	11.420000000000073	trials	1.0	1082.635024	1084.086001	1085.280601	1085.721259	1081.90134	1084.7725899999998	1086.061	1087.297	1.0	2.0	1.0	1.0					
