onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.422	520.53	BlockDesign														1.0	1.0	46.0	50.0	90.0
3.422	30.196	trials	1.0	27.21375	28.907230000000002			26.385984	28.883022			2.0		1.0	1.0					
35.522	8.465000000000003	trials	1.0	40.544	41.978648	42.807108	43.4195	40.002634	41.970708			1.0		0.0	2.0					
45.997	8.68	trials	1.0	49.228572	50.805132	52.999886000000004	53.423522	48.23722	51.610542	53.622	54.677	1.0	2.0	1.0	1.0					
56.747	21.840000000000003	trials	1.0	58.620068	60.599548	73.82148	74.374406	57.904076	62.126886	74.597	75.618	1.0	2.0	1.0	1.0					
78.677	10.985	trials	1.0	80.37897	82.16331	84.614256	84.86933	78.5864	83.518934	85.477	86.402	1.0	2.0	1.0	1.0					
90.442	5.319000000000003	trials	1.0	92.233768	93.435374			89.660214	93.477282	95.337	95.537	2.0		1.0	1.0					
98.232	21.015	trials	1.0	100.22388	101.814714	114.344754	114.773658	98.296476	102.617254	115.222	116.317	1.0	2.0	1.0	1.0					
119.379	9.512999999999991	trials	1.0	121.214044	123.21592			119.245198	123.513466			2.0		1.0	1.0					
130.317	7.724999999999994	trials	1.0	132.204292	133.65371399999998	136.32459	136.69136600000002	128.89045	134.49838999999997	137.033	138.042	1.0	2.0	1.0	1.0					
141.104	7.803999999999974	trials	1.0	142.700778	144.336528			141.819912	144.33004			2.0		0.0	2.0					
150.354	5.803999999999974	trials	1.0	151.97400399999998	153.34097000000003	155.429008	156.15752200000003	148.905508	153.337354			1.0		0.0	2.0					
159.462	10.25	trials	1.0	162.98897599999998	164.49070999999998	168.02297	168.54117000000002	162.36898000000002	166.325846	168.677	169.712	1.0	1.0	1.0	1.0					
171.762	11.620000000000005	trials	1.0	173.679302	175.41641800000002	179.604732	180.11751400000003	172.756638	177.15988199999998			1.0	1.0	0.0	3.0					
183.943	6.964999999999975	trials	1.0	185.95475399999998	187.657982	189.13813599999997	189.59542199999999	183.38351799999998	188.17440399999998	189.877	190.908	1.0	2.0	1.0	1.0					
192.937	9.11499999999998	trials	1.0	194.579656	195.82197000000002	200.015556	200.44736	194.007832	198.91197599999998	200.692	202.052	1.0	2.0	1.0	1.0					
205.117	7.025000000000006	trials	1.0	207.40376199999997	209.21135400000003	211.57117399999998	212.13908400000003	205.66930200000002	209.89295199999998			1.0	1.0	0.0	3.0					
213.912	6.840000000000003	trials	1.0	215.840258	217.39577200000002	218.83277600000002	219.26334400000002	215.03363000000002	218.15139399999998	219.537	220.752	1.0	2.0	1.0	1.0					
223.772	6.9480000000000075	trials	1.0	225.434442	226.77150799999998	230.03566999999998	230.720754	224.292754	228.193134			1.0	2.0	0.0	3.0					
232.372	17.274999999999977	trials	1.0	243.969312	245.680544	248.04622	248.52812799999998	243.38570800000002	247.13534199999998	248.877	249.647	1.0	1.0	1.0	1.0					
252.667	8.474999999999994	trials	1.0	254.499792	255.69077999999996	259.309044	259.72853799999996	253.12190600000002	256.259482	260.102	261.142	1.0	2.0	1.0	1.0					
263.17	10.387	trials	1.0	264.91538399999996	266.4271	269.60943	270.129732	264.217872	268.68967			1.0	1.0	0.0	3.0					
273.952	8.331000000000017	trials	1.0	275.864482	276.987312			273.55424999999997	277.52696			2.0		1.0	1.0					
283.613	9.254999999999995	trials	1.0	285.219502	286.663438	287.960786	288.338594	282.284744	286.650422	288.707	289.698	1.0	2.0	1.0	1.0					
293.717	7.1200000000000045	trials	1.0	295.689824	297.40083599999997	298.783032	299.210442	292.86665	297.853414	299.618	300.837	1.0	2.0	1.0	1.0					
303.858	6.283999999999992	trials	1.0	305.951086	307.853568	309.644522	310.14190199999996	304.410594	308.676454			1.0	1.0	0.0	3.0					
311.932	8.805000000000007	trials	1.0	314.554788	315.671624			313.740994	316.125424			2.0		1.0	1.0					
322.761	6.065999999999974	trials	1.0	324.789946	326.02783	328.277492	328.829388	320.73807	326.011418			1.0		0.0	2.0					
330.047	6.369999999999948	trials	1.0	332.430046	333.57612	335.99505	336.416646	331.92379999999997	335.206056			1.0	2.0	0.0	3.0					
