onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.263	558.578	BlockDesign														1.0	1.0	30.0	10.0	50.0
3.263	65.55699999999999	trials	1.0	65.07327099999999	66.766342			64.168258	66.762732			2.0		0.0	2.0					
70.83	16.210000000000008	trials	1.0	81.503294	83.051228	84.005911	85.12953399999999	80.878129	83.312333	84.785	87.04	1.0	2.0	1.0	1.0					
91.148	7.007000000000005	trials	1.0	93.953211	95.593132			93.224653	96.000331			2.0		1.0	1.0					
101.637	7.9140000000000015	trials	1.0	105.853944	107.264904	108.359325	109.55219199999999	105.060588	107.60149799999999			1.0	2.0	0.0	3.0					
112.705	10.564999999999998	trials	1.0	119.603779	121.451746	122.302441	123.270799	118.907932	121.478481			1.0	2.0	0.0	3.0					
125.63	11.840000000000003	trials	1.0	134.333361	135.63658	136.586002	137.473425	133.586095	135.886879			1.0	2.0	0.0	3.0					
138.915	18.721000000000004	trials	1.0	153.08857799999998	154.290052	155.457414	156.018259	152.388066	154.697757	156.185	157.636	1.0	2.0	1.0	1.0					
161.66	17.25999999999999	trials	1.0	173.83849	175.310731	176.327665	177.152556	172.939437	175.568542	176.985	178.92	1.0	2.0	1.0	1.0					
181.966	11.244	trials	1.0	187.918699	189.365875	190.482516	191.486224	187.352386	189.711049	191.21	193.21	1.0	2.0	1.0	1.0					
196.233	7.336999999999989	trials	1.0	200.765445	202.092058	203.112137	203.56862999999998	199.92442499999999	202.540098			1.0	1.0	0.0	3.0					
206.435	16.575999999999993	trials	1.0	219.42364	220.960512			218.549869	220.954986			1.0		0.0	2.0					
225.07	20.13500000000002	trials	1.0	239.793724	241.437772	242.736139	243.43114599999998	239.271379	241.850164	243.45	245.205	1.0	2.0	1.0	1.0					
247.271	12.240000000000038	trials	1.0	256.543992	257.500457			255.547008	257.49331			1.0		0.0	2.0					
