onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.364	488.476	BlockDesign														1.0	1.0	41.0	50.0	90.0
3.364	27.445	trials	1.0	24.801716000000003	25.621742			23.84	25.618548			1.0		0.0	2.0					
31.634	5.700000000000003	trials	1.0	33.284976	34.588634	35.685497999999995	36.05229800000001	30.809976000000002	35.084788	36.409	37.334	1.0	1.0	1.0	1.0					
39.359	9.440999999999995	trials	1.0	43.990260000000006	45.167546	48.045289999999994	48.79996800000001	43.150338000000005	47.421768			1.0	1.0	0.0	3.0					
50.386	10.628	trials	1.0	56.595894	58.503466			55.803816	58.79117600000001			2.0		1.0	1.0					
64.55	16.235	trials	1.0	72.292828	73.90758000000001	78.744704	79.202222	71.64717200000001	74.694304	79.389	80.785	1.0	2.0	1.0	1.0					
82.853	5.621000000000009	trials	1.0	85.140742	87.12666800000001	88.17076200000001	88.327574	84.499194	87.67926			1.0	1.0	0.0	3.0					
90.484	6.38000000000001	trials	1.0	92.455512	94.352558			91.76937000000001	94.730616			2.0		1.0	1.0					
100.453	6.756	trials	1.0	103.193436	104.73725	105.650406	105.82049	102.222668	105.182534	106.354	107.209	1.0	1.0	1.0	1.0					
109.255	12.109000000000009	trials	1.0	112.901176	114.822488			112.06125200000001	115.109508			2.0		1.0	1.0					
121.919	6.5249999999999915	trials	1.0	124.023224	125.553054			121.36049	126.08985600000001			2.0		1.0	1.0					
130.894	6.592999999999989	trials	1.0	132.87523199999998	134.296914	135.646212	135.87161	132.294738	135.06242	136.309	137.487	1.0	1.0	1.0	1.0					
141.529	6.530000000000001	trials	1.0	143.15587	145.046942	146.15742999999998	146.36972599999999	142.556848	145.57487799999998	146.909	148.059	1.0	1.0	1.0	1.0					
152.079	4.644999999999982	trials	1.0	153.63603999999998	154.892508	156.39614999999998	156.595262	152.548062	155.79297			1.0	1.0	0.0	3.0					
158.734	11.724999999999994	trials	1.0	163.10719999999998	164.88394599999998			162.25091799999998	165.26575			2.0		1.0	1.0					
171.934	5.3799999999999955	trials	1.0	173.705658	174.792138	175.40403999999998	175.713864	170.457574	174.82097399999998	176.204	177.314	1.0	1.0	1.0	1.0					
180.364	4.640999999999991	trials	1.0	182.181628	183.888862	184.67108	184.98320999999999	181.234582	184.18704599999998			1.0	1.0	0.0	3.0					
188.034	5.2050000000000125	trials	1.0	189.60636	190.96800199999998	192.11344	192.501804	188.08031799999998	191.408752			1.0	2.0	1.0	1.0					
197.679	6.759999999999991	trials	1.0	199.62560399999998	201.447408	202.39561799999998	202.61101	198.75520999999998	201.829942	203.234	204.439	1.0	2.0	1.0	1.0					
208.489	6.502999999999986	trials	1.0	210.284448	212.19553399999998	212.95019	213.18426	209.011222	212.42304199999998	213.669	214.992	1.0	2.0	1.0	1.0					
218.039	8.695000000000022	trials	1.0	222.611146	224.16273199999998			222.04235599999998	224.501874			2.0		1.0	1.0					
