onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
2.258	490.088	BlockDesign														1.0	1.0	30.0	90.0	50.0
2.258	78.843	trials	1.0	76.00738199999999	77.862256	78.920936	79.539712	75.331	78.232394	79.646	81.101	1.0	1.0	1.0	1.0					
84.121	8.820000000000007	trials	1.0	87.145883	89.159362	90.14605	90.777575	86.563159	89.514905	90.831	92.941	1.0	1.0	1.0	1.0					
97.042	6.849000000000004	trials	1.0	100.115955	101.31627			99.553386	101.649675			2.0		1.0	1.0					
108.363	6.067000000000007	trials	1.0	111.025857	112.387827			110.159488	112.380121			1.0		0.0	2.0					
117.466	9.99600000000001	trials	1.0	122.016406	123.532567	125.05732	125.85679999999999	121.10091	124.271401	125.866	127.462	1.0	2.0	1.0	1.0					
129.518	9.763000000000005	trials	1.0	135.196204	137.017228			134.497287	137.214154			2.0		1.0	1.0					
143.891	7.25	trials	1.0	147.585927	149.138533			146.671231	149.134104			1.0		0.0	2.0					
153.152	13.459000000000003	trials	1.0	162.581133	164.577871	165.706504	166.61202	162.06804	164.988367			1.0	1.0	0.0	3.0					
169.092	17.329999999999984	trials	1.0	181.576369	183.07309	184.048107	184.794664	180.714906	183.43612	184.841	186.422	1.0	1.0	1.0	1.0					
190.442	7.008999999999986	trials	1.0	193.641522	195.442849			192.821722	195.432932			1.0		0.0	2.0					
201.462	10.375	trials	1.0	207.956205	209.991728	211.182285	211.842333	207.081852	210.518346			1.0	2.0	0.0	3.0					
213.524	19.34700000000001	trials	1.0	227.621395	229.513596	230.587593	231.277081	227.101252	229.916548	231.547	232.871	1.0	1.0	1.0	1.0					
234.917	8.843999999999994	trials	1.0	240.211084	241.919664	243.144451	243.765379	239.313495	242.44821			1.0	2.0	0.0	3.0					
246.511	25.41100000000003	trials	1.0	267.67792399999996	269.34958300000005			266.701917	269.647204			2.0		1.0	1.0					
274.481	12.649999999999977	trials	1.0	279.18726000000004	281.03506000000004	284.61317099999997	285.48853099999997	278.42329900000004	281.63525500000003	285.371	287.131	1.0	1.0	1.0	1.0					
289.182	13.829000000000008	trials	1.0	297.69239200000004	299.389855	300.43170999999995	301.313258	296.782246	299.791074	301.276	303.011	1.0	1.0	1.0	1.0					
306.071	9.989999999999952	trials	1.0	310.80703600000004	312.561462	313.498744	314.341866	310.039526	312.86425699999995	314.276	316.061	1.0	1.0	1.0	1.0					
318.121	10.810000000000002	trials	1.0	323.56243199999994	324.88879299999996	326.39893300000006	327.208123	322.721092	325.77405	327.216	328.931	1.0	1.0	1.0	1.0					
331.996	10.551000000000045	trials	1.0	338.081993	339.974059			337.098396	340.27204300000005			2.0		1.0	1.0					
345.087	14.254000000000019	trials	1.0	353.50861599999996	355.438942	356.90679	357.78947700000003	352.904084	356.03294700000004	357.661	359.341	1.0	1.0	1.0	1.0					
362.368	9.442999999999984	trials	1.0	366.85709099999997	368.1735	369.13878	370.06523100000004	365.92936699999996	368.54682	369.861	371.811	1.0	1.0	1.0	1.0					
374.831	9.009999999999991	trials	1.0	378.45710199999996	379.706184	381.181276	382.124997	377.723758	380.55711899999994	381.981	383.841	1.0	1.0	1.0	1.0					
387.861	10.120000000000005	trials	1.0	393.11714199999994	394.655485	395.30950600000006	396.14609800000005	392.206863	394.59254799999997	396.041	397.981	1.0	1.0	1.0	1.0					
400.998	10.723000000000013	trials	1.0	407.92879600000003	409.200461			407.03632000000005	409.640943			2.0		1.0	1.0					
416.252	6.117000000000019	trials	1.0	418.582221	419.609112			417.61255600000004	420.242523			2.0		1.0	1.0					
426.899	6.432000000000016	trials	1.0	430.358124	431.81982400000004	432.96441100000004	433.333932	429.51509899999996	432.2437			1.0	2.0	0.0	3.0					
435.297	18.783999999999992	trials	1.0	448.667382	450.39977799999997	451.598833	452.45414100000005	448.05459699999994	450.92292699999996	452.361	454.081	1.0	1.0	1.0	1.0					
456.171	11.831000000000017	trials	1.0	462.80787799999996	464.214021	465.406882	466.36551999999995	461.93170299999997	464.812503	466.252	468.002	1.0	1.0	1.0	1.0					
472.026	9.615000000000009	trials	1.0	476.32777999999996	477.520183	479.53635499999996	480.044525	475.32472800000005	478.29433600000004	480.181	481.641	2.0		1.0	1.0					
485.706	6.639999999999986	trials	1.0	489.013429	490.20498	491.277775	492.299971	488.43473700000004	490.693713			1.0	1.0	1.0	1.0					
496.017	2114.324	BlockDesign														1.0	31.0	134.0	50.0	90.0
