onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.378	790.1659999999999	BlockDesign														1.0	1.0	79.0	50.0	90.0
3.378	18.005	trials	1.0	16.132	18.175140000000003	19.721174	20.194552	15.501686000000003	19.208444000000004	20.443	21.383	1.0	2.0	1.0	1.0					
23.448	4.977999999999998	trials	1.0	25.160268000000002	26.897274000000003	28.046962000000004	28.396412	24.608960000000003	27.486784000000004			1.0	1.0	0.0	3.0					
30.391	7.3770000000000024	trials	1.0	33.530426000000006	34.95681400000001	35.838257999999996	36.425262000000004	32.857048000000006	35.390100000000004	36.643	37.768	1.0	2.0	1.0	1.0					
39.788	5.810000000000002	trials	1.0	42.195694	43.897384	45.110642	45.59954400000001	41.539001999999996	44.544568			1.0	1.0	0.0	3.0					
48.549	7.094000000000001	trials	1.0	51.136002000000005	53.100836	53.811662	54.32481	50.18892600000001	53.391276000000005	54.397	55.643	1.0	2.0	1.0	1.0					
59.704	9.238999999999997	trials	1.0	62.481232000000006	64.467828			61.947844	64.95265			2.0		1.0	1.0					
69.528	9.414999999999992	trials	1.0	71.096284	72.87453	73.667106	74.071674	68.94289	73.259684	74.573	75.468	1.0	2.0	1.0	1.0					
79.544	9.713999999999999	trials	1.0	81.375498	82.723414	83.600402	84.14652	78.945112	83.126782	84.438	85.518	1.0	2.0	1.0	1.0					
89.584	6.028999999999996	trials	1.0	91.500794	92.792232			89.257676	93.30542			2.0		1.0	1.0					
99.174	11.079999999999998	trials	1.0	103.19588	104.775704	106.039306	106.656142	102.39371799999999	105.505818	106.723	107.953	1.0	1.0	1.0	1.0					
110.969	9.229	trials	1.0	112.672334	114.068702	115.04727	115.564516	110.255182	114.498118	115.768	117.044	1.0	2.0	1.0	1.0					
121.128	5.126000000000005	trials	1.0	122.85111	124.246798	125.849544	126.1091	120.197352	124.239426			2.0		0.0	2.0					
129.288	6.204999999999984	trials	1.0	131.525804	132.73428			130.874358	133.456706	135.209	135.493	2.0		1.0	1.0					
138.038	6.819999999999993	trials	1.0	139.901054	141.032438	142.937284	143.575616	138.627388	142.204006	143.653	144.858	1.0	1.0	1.0	1.0					
146.883	5.6699999999999875	trials	1.0	148.841914	149.913726	151.862372	152.554742	147.347918	151.318816			1.0	1.0	0.0	3.0					
156.198	6.685000000000002	trials	1.0	157.926314	159.964974	160.940786	161.534504	157.33579	160.42366	161.754	162.883	1.0	2.0	1.0	1.0					
164.903	7.6200000000000045	trials	1.0	168.547544	169.956836	172.102808	172.523112	167.649326	171.600876			1.0	1.0	0.0	3.0					
175.488	10.259999999999991	trials	1.0	178.226194	179.782586	181.076356	181.614542	177.297292	180.58236	181.773	183.113	1.0	2.0	1.0	1.0					
187.068	6.214999999999975	trials	1.0	188.701032	190.11766599999999	191.19594	191.871316	185.749046	190.708652	192.013	193.283	1.0	2.0	1.0	1.0					
195.339	9.50399999999999	trials	1.0	197.422488	198.457602	199.877078	200.573856	196.434938	199.374914	200.498	202.018	1.0	2.0	1.0	1.0					
206.086	6.586999999999989	trials	1.0	208.087614	209.807774	210.644444	211.216016	204.84359	210.117984	211.383	212.673	1.0	2.0	1.0	1.0					
215.733	8.790999999999997	trials	1.0	217.257668	218.59323	219.974758	220.549458	215.858076	219.471394	220.683	221.978	1.0	2.0	1.0	1.0					
225.084	7.813999999999993	trials	1.0	226.611224	227.897182			224.526172	228.192836			2.0		1.0	1.0					
235.198	6.144999999999982	trials	1.0	237.081026	238.579616			232.896328	238.837212			2.0		1.0	1.0					
243.858	9.0	trials	1.0	245.422552	246.674358	248.240144	248.687566	244.186776	247.718448	248.923	250.143	1.0	2.0	1.0	1.0					
253.093	9.294999999999987	trials	1.0	255.07610799999998	257.042938			252.858876	257.037074			1.0		0.0	2.0					
263.063	5.6299999999999955	trials	1.0	264.941454	266.683068	267.161662	267.54514	262.38785	266.673088			1.0		0.0	2.0					
270.709	8.004000000000019	trials	1.0	275.32136	277.355824	278.25204	278.713504	274.779476	277.721814			1.0	1.0	0.0	3.0					
280.633	14.965000000000032	trials	1.0	292.426764	293.552082	295.23446	295.598994	291.711768	294.696498			1.0	1.0	0.0	3.0					
297.573	8.460000000000036	trials	1.0	300.751424	302.391302	304.001788	304.673634	300.24056	303.544734	304.853	306.033	1.0	2.0	1.0	1.0					
308.049	10.384000000000015	trials	1.0	309.751066	311.6602	312.778816	313.417154	309.20844	312.277134	313.504	314.773	1.0	2.0	1.0	1.0					
318.826	7.956999999999994	trials	1.0	320.423024	322.153068			318.43292	322.346528			2.0		1.0	1.0					
329.233	8.574999999999989	trials	1.0	330.956258	332.321942	333.035228	333.557248	326.782636	332.48827	333.754	334.893	1.0	1.0	1.0	1.0					
337.998	7.740000000000009	trials	1.0	339.57156	341.153318			337.809088	341.508684			2.0		1.0	1.0					
347.278	4.685000000000002	trials	1.0	348.866882	350.304202	351.226196	351.963822	345.736714	350.632762			1.0	1.0	0.0	3.0					
355.597	6.915999999999997	trials	1.0	357.706246	358.85347	360.456038	361.0433	356.997998	359.920728	361.108	362.513	1.0	2.0	1.0	1.0					
365.579	6.428999999999974	trials	1.0	367.471842	368.582858	369.928098	370.523628	365.717666	369.415484	370.523	372.008	1.0	2.0	1.0	1.0					
375.073	6.545000000000016	trials	1.0	377.041358	378.5682	379.474196	380.179926	375.46149	378.957904	380.238	381.618	1.0	2.0	1.0	1.0					
383.674	10.79400000000004	trials	1.0	385.677156	387.69844	388.857716	389.507278	384.414896	388.358832	389.608	391.133	1.0	2.0	1.0	1.0					
395.153	5.229999999999961	trials	1.0	397.08841	398.988336	399.550902	400.382908	394.470142	398.987414			1.0	2.0	0.0	3.0					
401.883	7.246000000000038	trials	1.0	405.673224	407.583024	408.612444	409.127994	404.739704	408.003492			1.0	1.0	0.0	3.0					
412.97	14.08299999999997	trials	1.0	422.446976	423.928944	425.024156	425.683216	421.715228	424.5531	425.883	427.053	1.0	2.0	1.0	1.0					
429.078	6.850000000000023	trials	1.0	431.64774	433.321618			430.728098	433.79745	435.544	435.928	2.0		1.0	1.0					
438.398	6.717999999999961	trials	1.0	442.597544	443.952754	444.741772	445.109572	441.914658	444.25121			1.0	1.0	0.0	3.0					
449.117	5.176999999999964	trials	1.0	451.173556	452.957866	453.633538	454.296556	450.651402	453.17643			1.0	2.0	0.0	3.0					
456.959	17.738999999999976	trials	1.0	467.67724	469.3481			466.79839	469.674724			2.0		1.0	1.0					
475.423	9.175000000000011	trials	1.0	477.317006	479.049988	480.141548	480.683326	474.698562	479.542332	480.813	481.813	1.0	1.0	1.0	1.0					
484.754	7.178999999999974	trials	1.0	486.696962	488.39637			484.59961	488.973706	491.254	491.933	2.0		1.0	1.0					
493.973	8.579999999999984	trials	1.0	495.701928	497.397134			494.726834	497.40124	499.403	499.828	2.0		1.0	1.0					
502.895	4.343000000000018	trials	1.0	504.63365	505.809896	506.814452	507.236786	502.554906	506.261048			1.0	1.0	0.0	3.0					
511.188	5.975000000000023	trials	1.0	512.842454	514.33993	515.270714	515.890992	511.97587999999996	514.770696	515.959	517.163	1.0	2.0	1.0	1.0					
520.183	10.186000000000035	trials	1.0	521.776912	523.679062	524.645874	525.249412	520.215784	524.121258	525.403	527.033	1.0	2.0	1.0	1.0					
531.098	8.960000000000036	trials	1.0	533.057668	534.425376	535.001038	535.532488	530.370374	534.506972	535.673	536.773	1.0	2.0	1.0	1.0					
540.789	6.44399999999996	trials	1.0	542.657144	544.337716	545.257534	545.872568	540.058786	544.73738	545.978	547.233	1.0	2.0	1.0	1.0					
550.254	4.494000000000028	trials	1.0	552.00017	553.114872	554.087088	554.750126	550.965496	553.555736			1.0	2.0	0.0	3.0					
557.423	9.019999999999982	trials	1.0	562.79869	564.717412	565.95168	566.44368	561.95342	565.422554			1.0	1.0	0.0	3.0					
569.334	11.062000000000012	trials	1.0	572.697194	574.26033	575.187642	575.897118	572.193266	574.669648	575.963	577.328	1.0	2.0	1.0	1.0					
581.388	6.180999999999926	trials	1.0	583.222936	585.055452	585.560834	586.2210239999999	580.40023	585.000068	586.353	587.569	1.0	2.0	1.0	1.0					
590.626	9.726999999999975	trials	1.0	592.427844	593.983804	594.609256	595.276088	591.21663	594.08006	595.308	596.803	1.0	2.0	1.0	1.0					
600.848	8.950000000000045	trials	1.0	602.589056	603.931866	604.768764	605.405378	600.354516	604.229216	605.453	606.813	1.0	2.0	1.0	1.0					
610.861	10.782000000000039	trials	1.0	612.667034	614.40809			609.79906	614.919712			2.0		1.0	1.0					
621.789	10.808999999999969	trials	1.0	628.60656	629.822348	630.683842	631.216894	627.615152	630.207344	631.413	632.598	1.0	2.0	1.0	1.0					
634.665	10.182999999999993	trials	1.0	637.037364	638.896232	639.50976	640.098416	636.262564	638.953514	640.254	641.669	1.0	2.0	1.0	1.0					
645.738	5.284999999999968	trials	1.0	647.343064	649.01444	649.563388	650.136042	644.848446	649.002914			1.0		0.0	2.0					
655.078	18.341000000000008	trials	1.0	666.502206	668.405352			665.634386	668.396968	670.218	670.403	2.0		1.0	1.0					
673.943	4.914999999999964	trials	1.0	675.884264	676.800834	677.335136	677.657932	673.418324	676.793012			1.0		0.0	2.0					
680.868	8.17999999999995	trials	1.0	684.437714	686.261598	687.308812	687.765542	683.834134	686.69406	688.033	689.048	1.0	2.0	1.0	1.0					
691.112	11.576000000000022	trials	1.0	694.707416	696.201096			694.176564	696.552978			2.0		1.0	1.0					
703.318	5.69500000000005	trials	1.0	704.867416	706.750076	707.33909	707.823548	702.690096	706.769698	708.108	709.013	1.0	1.0	1.0	1.0					
711.033	5.294999999999959	trials	1.0	712.778412	714.804396	715.79356	716.329786	711.685244	715.227436			1.0	1.0	0.0	3.0					
719.123	6.829999999999927	trials	1.0	721.6273	722.883686	723.863762	724.53279	720.920228	723.40662	724.578	725.953	1.0	2.0	1.0	1.0					
727.973	7.3900000000001	trials	1.0	730.424252	732.38013	733.249302	733.956898	729.913842	732.769272	733.998	735.363	1.0	2.0	1.0	1.0					
738.383	5.7999999999999545	trials	1.0	740.55817	742.176442			738.902106	742.170752			2.0		0.0	2.0					
746.193	7.345000000000027	trials	1.0	749.827486	751.019418			749.290992	751.501068	753.138	753.538	2.0		1.0	1.0					
755.553	6.5499999999999545	trials	1.0	757.549504	759.20546	760.220228	760.729296	756.688604	759.752064	760.858	762.103	1.0	2.0	1.0	1.0					
764.123	8.954999999999927	trials	1.0	765.903108	767.69452			765.110756	767.79149	769.923	770.118	2.0		1.0	1.0					
773.794	4.009999999999991	trials	1.0	775.50942	775.799236			773.077334	775.789266			1.0		0.0	2.0					
779.813	5.1299999999999955	trials	1.0	781.528232	782.67905	783.55748	783.930118	780.95458	782.998038	784.233	784.943	1.0	1.0	1.0	1.0					
788.009	5.534999999999968	trials	1.0	789.63428	790.889918	791.823582	792.32739	788.23173	791.345604	792.638	793.544	1.0	2.0	1.0	1.0					
795.638	2549.105	BlockDesign														1.0	80.0	290.0	50.0	10.0
795.638	5.589999999999918	trials	2.0	797.848032	799.22064			797.095922	799.213266			1.0		0.0	2.0					
805.284	5.229000000000042	trials	2.0	807.259192	808.826516	809.902438	810.517548	806.65418	809.427518			1.0	2.0	0.0	3.0					
812.284	12.704000000000065	trials	2.0	821.02291	822.498746	823.403562	823.84075	820.137026	822.901222	824.108	824.988	1.0	1.0	1.0	1.0					
828.034	11.913999999999987	trials	2.0	833.623118	834.7889			832.672714	835.377236			2.0		1.0	1.0					
841.334	7.844000000000051	trials	2.0	843.332656	844.034602			839.948958	844.030562			1.0		0.0	2.0					
850.125	5.243000000000052	trials	2.0	851.827824	853.360266	853.900894	854.180326	849.179184	853.348608			1.0		0.0	2.0					
857.383	12.56499999999994	trials	2.0	866.153108	868.218912	869.447802	869.951568	865.150174	868.881208			1.0	1.0	0.0	3.0					
873.838	4.780000000000086	trials	2.0	875.549554	877.191474	878.00416	878.622308	874.892524	877.55678			1.0	2.0	0.0	3.0					
880.393	12.074999999999932	trials	2.0	888.917964	890.274942	892.03919	892.469842	888.389964	891.268954			1.0	1.0	0.0	3.0					
895.373	11.769999999999982	trials	2.0	904.478458	905.741588	906.756294	907.142796	903.959674	906.327896			1.0	2.0	0.0	3.0					
909.169	13.039999999999964	trials	2.0	914.6483	916.609486			913.959074	916.602626			2.0		0.0	2.0					
922.625	10.857999999999947	trials	2.0	930.50971	931.6881	932.892818	933.483764	929.829074	932.41737			1.0	2.0	0.0	3.0					
936.277	15.245999999999981	trials	2.0	943.393472	945.03517			942.515012	945.825268			2.0		1.0	1.0					
